Kubikaža,Snaga,Prešao kilometara,Proveri kilometražu,Tip motora,Pogon,Menjač,Broj vrata,Broj sedišta,Strana volana,Klima,Boja,Kategorija,price,year,url,oprema,istorija,name,Broj brzina,Boja unutrašnjosti
1995 cm3,150 KS (110 KW),4450,,Euro 5,Prednji,Poluautomatski,4/5,5,Leva,Automatska klima,unutrašnjosti crna,SUV_terensko,58.850 EUR,2024.,https://www.mojauto.rs/polovni-automobili/3240362_BMW_X2_2024_god/?cena=high,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Child lock', 'ABS', 'ESP', 'ASR', 'Alarm', 'Kodiran ključ', 'Centralna brava', 'Mehanička zaštita', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Koža', 'Šiber', 'Panorama krov', 'Kuka za vuču', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Xenon', 'Maglenke', 'Senzori za svetla', 'Senzori za kišu', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Električno podesiva sedišta', 'Grejači sedišta', 'DVD plejer', 'Radio', 'HiFi muzika', 'CD šaržer', 'Alu felne', 'Navigacija GPS', 'Putni računar', 'Tjuning', 'WEBASTO', 'Led svetla', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Da', 'Prvi vlasnik': 'Da', 'Garažiran': 'Da', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",BMW X2 sDrive M-paket ,,
2993 cm3,340 KS (250 KW),14450,,Euro 6,4x4,automatski,4/5,5,Leva,Automatska klima,unutrašnjosti crna,SUV_terensko,123.850 EUR,2023.,https://www.mojauto.rs/polovni-automobili/3240361_BMW_X7_2023_god/?cena=high,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Alarm', 'Kodiran ključ', 'Centralna brava', 'Mehanička zaštita', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Koža', 'Šiber', 'Panorama krov', 'Kuka za vuču', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Xenon', 'Maglenke', 'Senzori za svetla', 'Senzori za kišu', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Električno podesiva sedišta', 'Grejači sedišta', 'DVD plejer', 'Radio', 'HiFi muzika', 'CD šaržer', 'Alu felne', 'Navigacija GPS', 'Putni računar', 'Tjuning', 'WEBASTO', 'Led svetla', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Da', 'Prvi vlasnik': 'Da', 'Garažiran': 'Da', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",BMW X7 xDrive40d M-pro ,,
1389 cm3,90 KS (66 KW),215000,,Euro 4,Prednji,manuelni,4/5,5,Leva,Manuelna klima,unutrašnjosti crna,Hečbek,1.700 EUR,2008.,https://www.mojauto.rs/polovni-automobili/3236783_Opel_Astra_2008_god/?cena=low,"['ABS', 'Servo', 'Tonirana stakla']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Novembar 2024', 'Prvi vlasnik': 'Da', 'Garažiran': 'Da', 'Servisna knjižica': 'Da'}","Opel Astra G 1,4Twinport ",5,
1364 cm3,140 KS (103 KW),188238,,Euro 5,Prednji,manuelni,4/5,5,Leva,Automatska klima,siva,minibus/van,5.200 EUR,2011.,https://www.mojauto.rs/polovni-automobili/3238889_Opel_Meriva_2011_god/?cena=high,"['Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'ABS', 'ESP', 'ASR', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Tonirana stakla', 'Maglenke', 'Parking senzori', 'Podesivi volan po visini', 'Podešavanje sedišta po visini', 'Grejači sedišta', 'Radio', 'Alu felne', 'Putni računar', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Prvi vlasnik': 'Da', 'Garažiran': 'Da', 'Servisna knjižica': 'Da'}",Opel Meriva  ,6,crna
1968 cm3,190 KS (140 KW),110800,,Euro 6,4x4,Poluautomatski,4/5,5,Leva,Automatska klima,crna,limuzina,32.800 EUR,2019.,https://www.mojauto.rs/polovni-automobili/3240200_Skoda_Superb_2019_god/?cena=high,"['Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Alarm', 'Kodiran ključ', 'Centralna brava', 'Servo', 'Tempomat', 'Koža', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Xenon', 'Maglenke', 'Senzori za kišu', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Električno podesiva sedišta', 'Grejači sedišta', 'DVD plejer', 'Radio', 'CD šaržer', 'Alu felne', 'Navigacija GPS', 'Led svetla']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Jul 2025', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Kupljen nov u Srbiji': 'Da', 'Garažiran': 'Da', 'Servisna knjižica': 'Da'}",Škoda Superb SUPERB STYLE 2.0 TDI 4x4 DSG ,7,crna
1686 cm3,110 KS (81 KW),186516,,Euro 5,Prednji,manuelni,4/5,5,Leva,,siva,minibus/van,4.990 EUR,2011.,https://www.mojauto.rs/polovni-automobili/3230885_Opel_Meriva_2011_god/?cena=low,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Tonirana stakla', 'Senzori za svetla', 'Senzori za kišu', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'HiFi muzika', 'Putni računar', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično'}","Opel Meriva 1.7 CDTI ""ENJOY 110 KS'' ",6,siva
1587 cm3,109 KS (80 KW),170000,,,Prednji,manuelni,2/3,4,Leva,Manuelna klima,unutrašnjosti crna,kabrio,3.500 EUR,2008.,https://www.mojauto.rs/polovni-automobili/3219226_Peugeot_307_2008_god/?cena=low,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'ABS', 'Kodiran ključ', 'Centralna brava', 'Daljinsko zaključavanje', 'Električni podizači', 'Maglenke', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'DVD plejer', 'Radio', 'CD šaržer', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Servisna knjižica': 'Da'}",Peugeot 307 CC 1.6 16V DYNAMIQUE ,,crna
1995 cm3,184 KS (135 KW),172201,,Euro 5,4x4,automatski,4/5,5,Leva,Automatska klima,unutrašnjosti crna,Hečbek,16.799 EUR,2014.,https://www.mojauto.rs/polovni-automobili/3240190_BMW_420_2014_god/?cena=high,"['Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'Alarm', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Xenon', 'Maglenke', 'Senzori za svetla', 'Senzori za kišu', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Radio', 'Alu felne', 'Navigacija GPS', 'Putni računar', 'Led svetla', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne'}",BMW 420 M sport ,,
1486 cm3,90 KS (66 KW),151000,,Euro 6,Prednji,manuelni,4/5,5,Leva,Automatska klima,bež,SUV_terensko,11.000 EUR,2018.,https://www.mojauto.rs/polovni-automobili/3240004_Renault_Captur_2018_god/?cena=high,"['Air bag za vozača', 'Air bag za suvozača', 'Child lock', 'ABS', 'ESP', 'Kodiran ključ', 'Centralna brava', 'Servo', 'Multi volan', 'Tempomat', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Tonirana stakla', 'Maglenke', 'Senzori za svetla', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Alu felne', 'Navigacija GPS', 'Putni računar', 'Led svetla']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Maj 2025', 'Vozilo je korišćeno kao': 'lično', 'Garažiran': 'Da', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",Renault Captur 1.5dCi ,5,crna
1997 cm3,163 KS (120 KW),189889,,Euro 5,Prednji,automatski,4/5,5,Leva,Automatska klima,crna,SUV_terensko,8.950 EUR,2014.,https://www.mojauto.rs/polovni-automobili/3224616_Peugeot_3008_2014_god/?cena=high,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Tempomat', 'Daljinsko zaključavanje', 'Električni podizači', 'Grejači stakala', 'Tonirana stakla', 'Maglenke', 'Senzori za svetla', 'Senzori za kišu', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'HiFi muzika', 'CD šaržer', 'Alu felne', 'Navigacija GPS', 'Putni računar']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Septembar 2024', 'Vozilo je korišćeno kao': 'lično', 'Garažiran': 'Da', 'Servisna knjižica': 'Da'}",Peugeot 3008 2.0 HDi Tiptronic ,6,crna
1900 cm3,105 KS (77 KW),308032,,Euro 4,Prednji,manuelni,2/3,5,Leva,Automatska klima,crna,Hečbek,4.290 EUR,2007.,https://www.mojauto.rs/polovni-automobili/3239907_Audi_A3_2007_god/?cena=low,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'Kodiran ključ', 'Centralna brava', 'Servo', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Maglenke', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Radio', 'Alu felne', 'Navigacija GPS', 'Putni računar', 'Led svetla']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Registrovano do': 'Novembar 2024', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da'}",Audi A3 1.9 TDI ,5,siva
1598 cm3,90 KS (66 KW),150000,,Euro 6,Prednji,manuelni,4/5,5,Leva,Automatska klima,crvena,Hečbek,10.990 EUR,2015.,https://www.mojauto.rs/polovni-automobili/3239618_VW_Golf_7_2015_god/?cena=high,"['Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Centralna brava', 'Servo', 'Multi volan', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Tonirana stakla', 'Maglenke', 'Senzori za svetla', 'Senzori za kišu', 'Radio', 'Putni računar', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'službeno', 'Garažiran': 'Da', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",VW Golf 7 1.6 TDI ,5,siva
1995 cm3,173 KS (127 KW),304700,,Euro 5,Prednji,automatski,4/5,5,Leva,Automatska klima,crna,limuzina,7.200 EUR,2013.,https://www.mojauto.rs/polovni-automobili/3239679_Renault_Latitude_2013_god/?cena=high,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Centralna brava', 'Servo', 'Multi volan', 'Tempomat', 'Koža', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Xenon', 'Maglenke', 'Senzori za svetla', 'Senzori za kišu', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Električno podesiva sedišta', 'Grejači sedišta', 'DVD plejer', 'Radio', 'CD šaržer', 'Alu felne', 'Navigacija GPS', 'Led svetla', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da'}",Renault Latitude  ,6,crna
1198 cm3,69 KS (51 KW),334730,,Euro 5,Prednji,manuelni,4/5,5,Leva,Manuelna klima,crvena,limuzina,3.690 EUR,2010.,https://www.mojauto.rs/polovni-automobili/3237334_Skoda_Fabia_2010_god/?cena=low,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Centralna brava', 'Servo', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Maglenke', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Radio']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Mart 2025', 'Vozilo je korišćeno kao': 'lično', 'Servisna knjižica': 'Da'}",Škoda Fabia Fabia Ambient 1.2 ,5,crna
1198 cm3,54 KS (40 KW),160000,,Euro 3,Prednji,manuelni,4/5,5,Leva,Manuelna klima,crna,limuzina,2.750 EUR,2007.,https://www.mojauto.rs/polovni-automobili/3237158_VW_Polo_2007_god/?cena=low,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Centralna brava', 'Servo', 'Šiber', 'Električni podizači', 'Radio', 'CD šaržer']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Jul 2025', 'Vozilo je korišćeno kao': 'lično', 'Servisna knjižica': 'Da'}",VW Polo  ,5,crna
,132 KS (97 KW),156000,,Euro 6,Prednji,manuelni,4/5,,Leva,Automatska klima,braon,minibus/van,15.000 EUR,2016.,https://www.mojauto.rs/polovni-automobili/3239525_Toyota_Verso_2016_god/?cena=high,"['Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Krovni nosači', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Tonirana stakla', 'Maglenke', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Radio', 'HiFi muzika', 'Alu felne', 'Navigacija GPS', 'Putni računar', 'Led svetla']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'April 2025', 'Vozilo je korišćeno kao': 'lično', 'Kupljen nov u Srbiji': 'Da', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",Toyota Verso 1.6 ValveMatic ,6,
1995 cm3,122 KS (90 KW),280000,,Euro 4,Zadnji,manuelni,4/5,5,Leva,Automatska klima,crna,karavan,4.400 EUR,2007.,https://www.mojauto.rs/polovni-automobili/3227189_BMW_318__2007_god/?cena=low,"['Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'ESP', 'ASR', 'Kodiran ključ', 'Centralna brava', 'Servo', 'Tempomat', 'Krovni nosači', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Podesivi volan po visini', 'Radio', 'Alu felne', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne'}",BMW 318 E 91 Touring ,6,siva
1329 cm3,101 KS (74 KW),189000,,Euro 4,Prednji,manuelni,4/5,5,Leva,Manuelna klima,crna,Hečbek,4.390 EUR,2009.,https://www.mojauto.rs/polovni-automobili/3239440_Toyota_Yaris_2009_god/?cena=low,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'ABS', 'ESP', 'Kodiran ključ', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Radio', 'Alu felne', 'Putni računar']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Mart 2025', 'Vozilo je korišćeno kao': 'lično', 'Servisna knjižica': 'Da'}",Toyota Yaris 1.3 vlasnik ,6,siva
1499 cm3,110 KS (81 KW),82491,,Euro 6,Prednji,manuelni,4/5,5,Leva,Automatska klima,narandžasta,SUV_terensko,17.599 EUR,2021.,https://www.mojauto.rs/polovni-automobili/3239441_Peugeot_2008_2021_god/?cena=high,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Tonirana stakla', 'Xenon', 'Maglenke', 'Senzori za svetla', 'Senzori za kišu', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Radio', 'Navigacija GPS', 'Putni računar', 'Led svetla', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Garažiran': 'Da', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",Peugeot 2008 1.5BlueHdi Business Navi ,6,crna
1499 cm3,102 KS (75 KW),131878,,Euro 6,Prednji,manuelni,4/5,5,Leva,Manuelna klima,crna,SUV_terensko,11.299 EUR,2018.,https://www.mojauto.rs/polovni-automobili/3239435_Peugeot_2008_2018_god/?cena=high,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Alarm', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Krovni nosači', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Tonirana stakla', 'Maglenke', 'Senzori za svetla', 'Senzori za kišu', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Radio', 'Navigacija GPS', 'Putni računar', 'Led svetla', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Garažiran': 'Da', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",Peugeot 2008 1.5BlueHdi Business Navi ,6,crna
999 cm3,73 KS (54 KW),49000,,Euro 6,Prednji,manuelni,4/5,5,Leva,Manuelna klima,crna,Hečbek,8.200 EUR,2019.,https://www.mojauto.rs/polovni-automobili/3229955_Dacia_Sandero_2019_god/?cena=high,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Child lock', 'ABS', 'ESP', 'ASR', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Tonirana stakla', 'Maglenke', 'Podesivi volan po visini', 'Navigacija GPS', 'Putni računar', 'Led svetla']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Jun 2025', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Kupljen nov u Srbiji': 'Da', 'Garažiran': 'Da', 'Servisna knjižica': 'Da'}",Dacia Sandero  ,5,crna
2000 cm3,118 KS (87 KW),210000,,Euro 4,Zadnji,manuelni,4/5,5,Leva,Automatska klima,siva,limuzina,2.150 EUR,2004.,https://www.mojauto.rs/polovni-automobili/3215097_BMW_e46_2004_god/?cena=low,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Maglenke', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'Radio', 'Alu felne', 'Putni računar', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Garažiran': 'Da'}",BMW E46 318d ,5,siva
3198 cm3,200 KS (147 KW),88000,,Euro 6,4x4,automatski,4/5,5,Leva,Automatska klima,crna,SUV_terensko,33.000 EUR,2018.,https://www.mojauto.rs/polovni-automobili/3239283_Ford_Ranger_2018_god/?cena=high,"['Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Servo', 'Multi volan', 'Tempomat', 'Krovni nosači', 'Koža', 'Kuka za vuču', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Maglenke', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'DVD plejer', 'Radio', 'HiFi muzika', 'Alu felne', 'Navigacija GPS', 'Putni računar']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Registrovano do': 'Oktobar 2024', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Kupljen nov u Srbiji': 'Da', 'Garažiran': 'Da', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",Ford Ranger 3.2TDCI DOUBLE CAB ,6,siva
995 cm3,83 KS (61 KW),149,,Euro 5,Prednji,manuelni,,4,Leva,Automatska klima,,Hečbek,3.500 EUR,2010.,https://www.mojauto.rs/polovni-automobili/3237575_Chevrolet_Spark_2010_god/?cena=low,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'ABS', 'Centralna brava', 'Servo', 'Krovni nosači', 'Daljinsko zaključavanje', 'Električni podizači']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Da', 'Registrovano do': 'Jul 2025', 'Vozilo je korišćeno kao': 'lično', 'Garažiran': 'Da', 'Servisna knjižica': 'Da'}",Chevrolet Spark LS ,5,
2494 cm3,117 KS (86 KW),250619,,Euro 4,,,,3,Leva,Bez klime,unutrašnjosti siva,dostavno/pickup,6.950 EUR,2009.,https://www.mojauto.rs/polovni-automobili/3238878_Toyota_Hiace_2009_god/?cena=high,"['Air bag za vozača', 'Air bag za suvozača', 'ABS', 'Kodiran ključ', 'Servo', 'Krovni nosači', 'HiFi muzika', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'službeno', 'Prvi vlasnik': 'Da', 'Servisna knjižica': 'Da'}",Toyota Hiace 2.5 D ,,siva
1499 cm3,112 KS (82 KW),132126,,Euro 6,Prednji,manuelni,4/5,5,Leva,Automatska klima,bela,Hečbek,9.189 EUR,2019.,https://www.mojauto.rs/polovni-automobili/3196287_Citroen_C3_2019_god/?cena=high,"['Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ASR', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Tonirana stakla', 'Maglenke', 'Senzori za svetla', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Radio', 'Navigacija GPS', 'Putni računar', 'Led svetla', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Garažiran': 'Da', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",Citroen C3 1.2PureTech Led Navi Business ,5,crna
1198 cm3,105 KS (77 KW),171000,,Euro 5,Prednji,manuelni,4/5,,,Automatska klima,unutrašnjosti bež,limuzina,6.750 EUR,2011.,https://www.mojauto.rs/polovni-automobili/3210828_VW_Golf_6_2011_god/?cena=high,"['Metalik', 'Servo', 'Multi volan', 'Tempomat', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Grejači stakala', 'Tonirana stakla', 'Maglenke', 'Senzori za svetla', 'Senzori za kišu', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Podešavanje sedišta po visini', 'HiFi muzika', 'Alu felne', 'Putni računar', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Servisna knjižica': 'Da'}",VW Golf 6 1.2 TSI ,6,bež
