Kubikaža,Snaga,Prešao kilometara,Proveri kilometražu,Tip motora,Pogon,Menjač,Broj vrata,Broj sedišta,Strana volana,Klima,Boja,Kategorija,price,year,url,oprema,istorija,name,Broj brzina,Boja unutrašnjosti
1364 cm3,120 KS (88 KW),190302,,Euro 5,Prednji,manuelni,4/5,5,Leva,Manuelna klima,unutrašnjosti crna,minibus/van,5.490 EUR,2013.,https://www.mojauto.rs/polovni-automobili/3240512_Opel_Meriva_2013_god/?cena=high,"['Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Mehanička zaštita', 'Servo', 'Multi volan', 'Tempomat', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Maglenke', 'Podesivi volan po visini', 'Podešavanje sedišta po visini', 'Radio', 'Putni računar', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Garažiran': 'Da'}",Opel Meriva 1.4 benzin ,5,
1499 cm3,102 KS (75 KW),120560,,Euro 6,Prednji,manuelni,4/5,5,Leva,Manuelna klima,bela,Hečbek,8.699 EUR,2019.,https://www.mojauto.rs/polovni-automobili/3236146_Peugeot_208_2019_god/?cena=high,"['Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Koža', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Tonirana stakla', 'Maglenke', 'Senzori za svetla', 'Senzori za kišu', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Radio', 'Navigacija GPS', 'Putni računar', 'Led svetla', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Garažiran': 'Da', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",Peugeot 208 1.5BlueHdi Business PRODATO ,5,crna
1499 cm3,102 KS (75 KW),74109,,Euro 6,Prednji,manuelni,4/5,5,Leva,Automatska klima,bela,Hečbek,Dogovor,2018.,https://www.mojauto.rs/polovni-automobili/3226016_Citroen_C3_2018_god/?cena=low,"['Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Tonirana stakla', 'Maglenke', 'Senzori za svetla', 'Senzori za kišu', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Radio', 'Navigacija GPS', 'Putni računar', 'Led svetla', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Garažiran': 'Da', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",Citroen C3 1.5BlueHdi Business PRODATO ,6,crna
1560 cm3,75 KS (55 KW),160268,,Euro 6,Prednji,manuelni,4/5,5,Leva,Automatska klima,bela,Hečbek,Dogovor,2018.,https://www.mojauto.rs/polovni-automobili/3225560_Citroen_C3_2018_god/?cena=low,"['Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Tonirana stakla', 'Maglenke', 'Senzori za svetla', 'Senzori za kišu', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Radio', 'Navigacija GPS', 'Putni računar', 'Led svetla', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Garažiran': 'Da', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",Citroen C3 1.6BlueHdi Navi Led PRODATO ,5,crna
1560 cm3,75 KS (55 KW),127947,,Euro 6,Prednji,manuelni,4/5,5,Leva,Automatska klima,bela,Hečbek,9.789 EUR,2018.,https://www.mojauto.rs/polovni-automobili/3210587_Citroen_C3_2018_god/?cena=high,"['Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Tonirana stakla', 'Maglenke', 'Senzori za svetla', 'Senzori za kišu', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Radio', 'Navigacija GPS', 'Putni računar', 'Led svetla', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Garažiran': 'Da', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",Citroen C3 1.6BlueHdi Navi Led ,5,crna
1560 cm3,75 KS (55 KW),142346,,Euro 6,Prednji,manuelni,4/5,5,Leva,Automatska klima,bela,Hečbek,Dogovor,2018.,https://www.mojauto.rs/polovni-automobili/3206891_Citroen_C3_2018_god/?cena=low,"['Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Tonirana stakla', 'Maglenke', 'Senzori za svetla', 'Senzori za kišu', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Radio', 'Navigacija GPS', 'Putni računar', 'Led svetla', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Garažiran': 'Da', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",Citroen C3 1.6BlueHdi Business PRODATO ,5,crna
1560 cm3,75 KS (55 KW),144885,,Euro 6,Prednji,manuelni,4/5,5,Leva,Automatska klima,bela,Hečbek,Dogovor,2018.,https://www.mojauto.rs/polovni-automobili/3174533_Citroen_C3_2018_god/?cena=low,"['Air bag za vozača', 'Air bag za suvozača', 'Bočni air bag', 'Child lock', 'ABS', 'ESP', 'ASR', 'Kodiran ključ', 'Blokada motora', 'Centralna brava', 'Isofix sedišta', 'Servo', 'Multi volan', 'Tempomat', 'Grejači retrovizora', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Tonirana stakla', 'Maglenke', 'Senzori za svetla', 'Senzori za kišu', 'Parking senzori', 'Podesivi volan po visini', 'Podesivi volan po dubini', 'Radio', 'Navigacija GPS', 'Putni računar', 'Led svetla', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Prvi vlasnik': 'Da', 'Garažiran': 'Da', 'Servisna knjižica': 'Da', 'Garancija': 'Da'}",Citroen C3 1.6BlueHdi Navi Led PRODATO ,5,crna
1600 cm3,105 KS (77 KW),184350,,Euro 4,Prednji,manuelni,4/5,,Leva,Manuelna klima,unutrašnjosti crna,Hečbek,5.400 EUR,2009.,https://www.mojauto.rs/polovni-automobili/3240504_Mazda_3__2009_god/?cena=high,"['Metalik', 'Air bag za vozača', 'Air bag za suvozača', 'Child lock', 'ABS', 'Kodiran ključ', 'Centralna brava', 'Servo', 'Multi volan', 'Daljinsko zaključavanje', 'Električni podizači', 'Električni retrovizori', 'Maglenke', 'Podesivi volan po dubini', 'Radio', 'Nije registrovan']","{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Da', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Garažiran': 'Da', 'Servisna knjižica': 'Da'}",Mazda 3  ,5,
1910 cm3,116 KS (85 KW),123456,,,,,,,,,,limuzina,1.000 EUR,2004.,https://www.mojauto.rs/polovni-automobili/3240500_Alfa_Romeo_156_2004_god/?cena=low,['Nije registrovan'],"{'Zamena': 'Ne', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne'}",Alfa Romeo 156 OTKUP AUTOMOBILA!  ,,
1901 cm3,80 KS (59 KW),48000,,Drugo,4x4,manuelni,2/3,7,Leva,Bez klime,plava,SUV_terensko,4.500 EUR,1985.,https://www.mojauto.rs/polovni-automobili/3232812_Fiat_Campagnola_1985_god/?cena=low,"['Mehanička zaštita', 'Krovni nosači', 'Koža', 'Kuka za vuču', 'Nije registrovan']","{'Zamena': 'Da', 'Vozilo je': 'polovno', 'Havarisano': 'Ne', 'Na ime kupca': 'Ne', 'Stranac': 'Ne', 'Vozilo je korišćeno kao': 'lično', 'Garažiran': 'Da'}",Fiat Campagnola 1107 ,5,crna
